date,home_team,away_team,tournament,home_fifa_points,away_fifa_points,fifa_points_diff,home_form,away_form,h2h_home_win_rate,tournament_weight,home_avg_goal_diff,away_avg_goal_diff,label
2000-01-04,Egypt,Togo,Friendly,0.0,0.0,0.4912298180650803,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-01-07,Tunisia,Togo,Friendly,0.0,0.0,0.4912298180650803,0.5,0.0,0.5,0.0,0.5,0.5211267605633804,2
2000-01-08,Trinidad And Tobago,Canada,Friendly,0.0,0.0,0.4912298180650803,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,1
2000-01-09,Burkina Faso,Gabon,Friendly,0.0,0.0,0.4912298180650803,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,1
2000-01-09,Guatemala,Armenia,Friendly,0.0,0.0,0.4912298180650803,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,1
2000-01-09,Ivory Coast,Egypt,Friendly,0.0,0.0,0.4912298180650803,0.5,1.0,0.5,0.0,0.5,0.5774647887323944,2
2000-01-09,Mexico,Iran,Friendly,0.0,0.0,0.4912298180650803,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-01-11,Bermuda,Canada,Friendly,0.0,0.0,0.4912298180650803,0.5,0.0,0.5,0.0,0.5,0.5492957746478874,0
2000-01-11,Burkina Faso,Cameroon,Friendly,0.0,0.0,0.4912298180650803,0.0,0.5,0.5,0.0,0.5,0.5492957746478874,1
2000-01-13,Senegal,Cameroon,Friendly,0.0,0.0,0.4912298180650803,0.5,0.0,0.5,0.0,0.5,0.5492957746478874,1
2000-01-14,China Pr,New Zealand,Friendly,0.0,0.0,0.4912298180650803,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-01-16,United States,Iran,Friendly,0.0,0.0,0.4912298180650803,0.5,0.0,0.5,0.0,0.5,0.5211267605633804,1
2000-01-16,Jamaica,New Zealand,Friendly,0.0,0.0,0.4912298180650803,0.5,0.0,0.5,0.0,0.5,0.5211267605633804,2
2000-01-18,Ghana,Tunisia,Friendly,0.0,0.0,0.4912298180650803,0.5,1.0,0.5,0.0,0.5,0.7464788732394367,2
2000-01-18,Morocco,Trinidad And Tobago,Friendly,0.0,0.0,0.4912298180650803,0.5,0.0,0.5,0.0,0.5,0.5492957746478874,2
2000-01-19,Panama,Guatemala,Friendly,0.0988909426987061,0.2097966728280961,0.42481001167881594,0.5,0.0,0.5,0.0,0.5,0.5492957746478874,2
2000-01-19,Togo,Egypt,Friendly,0.19085027726432532,0.2578558225508318,0.4511011850400456,0.0,0.5,0.5,0.0,0.39473684210526316,0.5352112676056339,2
2000-01-20,Burkina Faso,Algeria,Friendly,0.20933456561922364,0.19454713493530498,0.5000857922499156,0.0,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-01-20,Malta,Qatar,Friendly,0.1423290203327172,0.16497227356746766,0.47766910759455133,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-01-21,New Zealand,South Korea,Friendly,0.17606284658040666,0.2412199630314233,0.45220818181315,0.0,0.5,0.5,0.0,0.4736842105263158,0.5492957746478874,0
2000-01-22,Ghana,Cameroon,African Cup of Nations,0.24306839186691312,0.23151571164510165,0.4981485478969829,1.0,0.0,0.5,0.75,0.5526315789473684,0.5492957746478874,1
2000-01-23,Vietnam,Guam,AFC Asian Cup qualification,0.17282809611829944,0.0018484288354898336,0.593627019577238,0.5,0.5,0.5,0.5,0.5,0.5492957746478874,2
2000-01-23,South Africa,Gabon,African Cup of Nations,0.27587800369685767,0.21072088724584104,0.5302514543170106,0.5,0.0,0.5,0.75,0.5,0.5492957746478874,2
2000-01-23,Nigeria,Tunisia,African Cup of Nations,0.20517560073937152,0.27911275415896486,0.4469499471409041,0.5,0.5,0.5,0.75,0.5,0.619718309859155,2
2000-01-23,New Zealand,South Korea,Friendly,0.17606284658040666,0.2412199630314233,0.45220818181315,0.0,1.0,0.0,0.0,0.4736842105263158,0.5774647887323944,1
2000-01-23,Egypt,Zambia,African Cup of Nations,0.2578558225508318,0.26386321626617376,0.487632078552491,0.3333333333333333,0.5,0.5,0.75,0.4824561403508772,0.5492957746478874,2
2000-01-23,China Pr,Philippines,AFC Asian Cup qualification,0.19038817005545286,0.03465804066543438,0.5844942961991265,1.0,0.5,0.5,0.5,0.5263157894736842,0.5492957746478874,2
