rank,team,wins,win_probability_pct
1,France,1156,11.56
2,Spain,1104,11.04
3,Argentina,1017,10.17
4,England,813,8.13
5,Belgium,650,6.5
6,Germany,594,5.94
7,Brazil,567,5.67
8,Portugal,555,5.55
9,Japan,532,5.32
10,Italy,481,4.81
11,Netherlands,433,4.33
12,Morocco,347,3.47
13,Denmark,329,3.29
14,USA,288,2.88
15,Uruguay,215,2.15
16,Mexico,96,0.96
17,Senegal,92,0.92
18,Switzerland,84,0.84
19,South Korea,75,0.75
20,Serbia,75,0.75
21,Croatia,72,0.72
22,Turkey,58,0.58
23,Austria,56,0.56
24,Colombia,51,0.51
25,Iran,44,0.44
26,Ivory Coast,40,0.4
27,Egypt,29,0.29
28,Ukraine,21,0.21
29,Nigeria,17,0.17
30,Australia,17,0.17
31,Canada,14,0.14
32,Algeria,13,0.13
33,Saudi Arabia,10,0.1
34,Cameroon,9,0.09
35,Tunisia,8,0.08
36,Scotland,7,0.07
37,Qatar,7,0.07
38,Ghana,6,0.06
39,Chile,5,0.05
40,Ecuador,4,0.04
41,Panama,4,0.04
42,Uzbekistan,2,0.02
43,Peru,2,0.02
44,Bolivia,1,0.01
45,Wales,0,0.0
46,Venezuela,0,0.0
47,Albania,0,0.0
48,New Zealand,0,0.0
